Date,Rainfall
20110101,0
20110102,0
20110103,0
20110104,0
20110105,0
20110106,0
20110107,0
20110108,0
20110109,0
20110110,0
20110111,0
20110112,0
20110113,0
20110114,0
20110115,0
20110116,0
20110117,0
20110118,0
20110119,0
20110120,0
20110121,0
20110122,0
20110123,0
20110124,0
20110125,0
20110126,0
20110127,0
20110128,0
20110129,0
20110130,0
20110131,0
20110201,0
20110202,0
20110203,0
20110204,0
20110205,0
20110206,0
20110207,0
20110208,0
20110209,0
20110210,0
20110211,0
20110212,0
20110213,0
20110214,0
20110215,0
20110216,0
20110217,0
20110218,0
20110219,0
20110220,0
20110221,0.052018221
20110222,0
20110223,0
20110224,1.906018943
20110225,1.335785732
20110226,0
20110227,0.799264908
20110228,0
20110301,0
20110302,0
20110303,0
20110304,0
20110305,0
20110306,0
20110307,0
20110308,0
20110309,0
20110310,0
20110311,0
20110312,0
20110313,0
20110314,0
20110315,0
20110316,0
20110317,0
20110318,0
20110319,0
20110320,0
20110321,1.196095333
20110322,0
20110323,0
20110324,0.223637387
20110325,0
20110326,16.59249592
20110327,0.190652478
20110328,0.760016002
20110329,0
20110330,0
20110331,0
20110401,0
20110402,0
20110403,10.75524402
20110404,0
20110405,0
20110406,0.074569467
20110407,0
20110408,0
20110409,0
20110410,0
20110411,0.829108387
20110412,0.276369471
20110413,0
20110414,4.938791394
20110415,1.611267187
20110416,1.37518695
20110417,0.230307883
20110418,0
20110419,10.20816648
20110420,3.496726871
20110421,8.89764595
20110422,32.13854313
20110423,9.528527737
20110424,18.05875063
20110425,13.38480425
20110426,11.72708941
20110427,0
20110428,0
20110429,6.303170681
20110430,0
20110501,8.296162605
20110502,0
20110503,0
20110504,4.565772057
20110505,0
20110506,0
20110507,0
20110508,0
20110509,0
20110510,0
20110511,0
20110512,0.322431024
20110513,0
20110514,0.122568212
20110515,6.968834758
20110516,0.122568212
20110517,0
20110518,6.791371793
20110519,3.370807171
20110520,8.939507842
20110521,0
20110522,1.723784447
20110523,0
20110524,0
20110525,16.58244491
20110526,3.12390399
20110527,1.584435403
20110528,7.358145356
20110529,23.17974496
20110530,2.251473546
20110531,9.356642485
20110601,15.4437027
20110602,50.80453968
20110603,29.66005045
20110604,25.32218832
20110605,16.13415253
20110606,24.4896329
20110607,12.46218494
20110608,8.018449068
20110609,5.845208049
20110610,16.21009845
20110611,3.650914788
20110612,10.25210029
20110613,16.37700641
20110614,17.78802621
20110615,14.44630396
